gas,CO,hydrogen,class
303.00,109.00,314.00,2
289.00,108.00,302.00,2
271.00,100.00,285.00,2
300.00,128.00,367.00,2
305.00,124.00,347.00,2
334.00,162.00,363.00,2
285.00,94.00,300.00,2
290.00,109.00,319.00,2
335.00,108.00,329.00,2
269.00,101.00,312.00,2
286.00,142.00,352.00,2
279.00,117.00,327.00,2
298.00,134.00,359.00,2
296.00,104.00,320.00,2
284.00,101.00,315.00,2
252.00,87.00,286.00,2
316.00,130.00,336.00,2
323.00,106.00,329.00,2
274.00,108.00,320.00,2
241.00,85.00,284.00,2
304.00,84.00,278.00,2
249.00,81.00,271.00,2
262.00,92.00,289.00,2
252.00,88.00,281.00,2
253.00,91.00,284.00,2
246.00,94.00,286.00,2
302.00,127.00,333.00,2
289.00,105.00,315.00,2
270.00,102.00,313.00,2
272.00,103.00,312.00,2
256.00,98.00,300.00,2
236.00,90.00,286.00,2
236.00,88.00,278.00,2
224.00,83.00,269.00,2
224.00,85.00,270.00,2
222.00,83.00,267.00,2
234.00,104.00,299.00,2
296.00,108.00,319.00,2
260.00,91.00,292.00,2
236.00,85.00,275.00,2
227.00,85.00,271.00,2
219.00,83.00,267.00,2
212.00,80.00,262.00,2
206.00,79.00,259.00,2
220.00,95.00,275.00,2
226.00,89.00,274.00,2
216.00,85.00,266.00,2
209.00,85.00,265.00,2
203.00,81.00,260.00,2
199.00,79.00,256.00,2
196.00,78.00,254.00,2
325.00,117.00,327.00,2
266.00,104.00,320.00,2
250.00,86.00,285.00,2
246.00,93.00,288.00,2
276.00,113.00,332.00,2
254.00,99.00,300.00,2
259.00,88.00,281.00,2
250.00,92.00,284.00,2
299.00,113.00,300.00,2
298.00,117.00,308.00,2
276.00,105.00,310.00,2
246.00,87.00,281.00,2
235.00,86.00,272.00,2
230.00,84.00,264.00,2
220.00,82.00,260.00,2
213.00,80.00,256.00,2
208.00,83.00,257.00,2
216.00,91.00,272.00,2
222.00,94.00,277.00,2
221.00,87.00,270.00,2
230.00,87.00,269.00,2
247.00,107.00,293.00,2
286.00,108.00,316.00,2
254.00,103.00,297.00,2
235.00,96.00,286.00,2
283.00,118.00,325.00,2
254.00,102.00,300.00,2
234.00,89.00,278.00,2
221.00,84.00,266.00,2
227.00,88.00,270.00,2
146.00,88.00,243.00,1
145.00,89.00,243.00,1
146.00,88.00,244.00,1
145.00,88.00,243.00,1
145.00,88.00,243.00,1
145.00,87.00,243.00,1
145.00,87.00,242.00,1
145.00,87.00,242.00,1
145.00,87.00,242.00,1
145.00,87.00,242.00,1
144.00,87.00,242.00,1
144.00,87.00,241.00,1
144.00,87.00,241.00,1
144.00,87.00,241.00,1
144.00,87.00,241.00,1
144.00,87.00,241.00,1
144.00,86.00,241.00,1
144.00,86.00,241.00,1
144.00,85.00,240.00,1
143.00,86.00,240.00,1
143.00,85.00,240.00,1
143.00,86.00,240.00,1
143.00,87.00,240.00,1
143.00,86.00,240.00,1
143.00,85.00,240.00,1
143.00,85.00,240.00,1
143.00,84.00,239.00,1
143.00,81.00,239.00,1
142.00,80.00,239.00,1
142.00,80.00,239.00,1
142.00,80.00,239.00,1
142.00,80.00,239.00,1
142.00,80.00,239.00,1
142.00,80.00,238.00,1
142.00,80.00,238.00,1
142.00,80.00,238.00,1
142.00,80.00,238.00,1
142.00,80.00,238.00,1
142.00,81.00,238.00,1
142.00,81.00,238.00,1
141.00,80.00,238.00,1
141.00,80.00,237.00,1
141.00,81.00,237.00,1
141.00,81.00,237.00,1
141.00,82.00,237.00,1
141.00,81.00,237.00,1
141.00,81.00,237.00,1
141.00,81.00,237.00,1
141.00,81.00,237.00,1
141.00,81.00,236.00,1
141.00,80.00,236.00,1
141.00,80.00,236.00,1
141.00,80.00,236.00,1
140.00,80.00,236.00,1
140.00,80.00,236.00,1
140.00,80.00,236.00,1
140.00,80.00,236.00,1
140.00,79.00,236.00,1
140.00,80.00,236.00,1
140.00,80.00,235.00,1
140.00,80.00,235.00,1
140.00,80.00,235.00,1
140.00,80.00,235.00,1
140.00,80.00,235.00,1
140.00,79.00,235.00,1
140.00,79.00,235.00,1
140.00,79.00,234.00,1
139.00,80.00,234.00,1
139.00,80.00,234.00,1
139.00,80.00,234.00,1
139.00,80.00,234.00,1
139.00,80.00,234.00,1
139.00,79.00,234.00,1
139.00,79.00,234.00,1
139.00,79.00,234.00,1
139.00,79.00,233.00,1
139.00,79.00,233.00,1
139.00,79.00,233.00,1
139.00,79.00,233.00,1
139.00,79.00,233.00,1
138.00,79.00,233.00,1
138.00,79.00,233.00,1
138.00,79.00,232.00,1
138.00,79.00,233.00,1
139.00,79.00,233.00,1
139.00,79.00,233.00,1
139.00,79.00,233.00,1
139.00,78.00,233.00,1
139.00,78.00,233.00,1
139.00,78.00,232.00,1
138.00,78.00,232.00,1
138.00,78.00,232.00,1
138.00,78.00,232.00,1
138.00,78.00,232.00,1
138.00,78.00,232.00,1
